"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependants","own_telephone","foreign_worker","class"
"no checking",18,"existing paid","used car",3378,"no known savings","1-3 years",2,"male single","none",1,"life insurance",31,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",36,"delayed previously","new car",2225,"low savings","7 or more years",4,"male single","none",4,"no known property",57,"bank","for free",2,"skilled",1,"yes","yes","bad"
"no checking",6,"all paid","new car",783,"no known savings","1-3 years",1,"male single","guarantor",2,"real estate",26,"unknown","own",1,"unskilled resident",2,"none","yes","good"
"low balance",12,"existing paid","radio/tv",6468,"no known savings","unemployed",2,"male single","none",1,"no known property",52,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"adequate balance",18,"existing paid","new car",1961,"low savings","7 or more years",3,"female div/dep/mar","none",2,"car",23,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"overdrawn",36,"critical/order existing credit","furniture/equipment",6229,"low savings","less than 1 year",4,"female div/dep/mar","co applicant",4,"no known property",23,"stores","rent",2,"unskilled resident",1,"yes","yes","bad"
"low balance",9,"existing paid","business",1391,"low savings","1-3 years",2,"male mar/wid","none",1,"real estate",27,"bank","own",1,"skilled",1,"yes","yes","good"
"low balance",15,"critical/order existing credit","radio/tv",1537,"no known savings","7 or more years",4,"male single","guarantor",4,"real estate",50,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",24,"existing paid","radio/tv",3181,"low savings","less than 1 year",4,"female div/dep/mar","none",4,"life insurance",26,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",27,"existing paid","repairs",5190,"no known savings","7 or more years",4,"male single","none",4,"life insurance",48,"stores","own",4,"skilled",2,"yes","yes","good"
"no checking",12,"existing paid","radio/tv",2171,"low savings","less than 1 year",2,"female div/dep/mar","none",2,"car",29,"bank","own",1,"skilled",1,"none","yes","good"
"low balance",12,"existing paid","new car",1007,"high savings","1-3 years",4,"male mar/wid","none",1,"real estate",22,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",36,"existing paid","education",1819,"low savings","1-3 years",4,"male single","none",4,"no known property",37,"unknown","for free",1,"skilled",1,"yes","yes","bad"
"no checking",36,"existing paid","radio/tv",2394,"no known savings","1-3 years",4,"female div/dep/mar","none",4,"car",25,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",7,"critical/order existing credit","radio/tv",730,"no known savings","7 or more years",4,"male single","none",2,"life insurance",46,"stores","rent",2,"unskilled resident",1,"yes","yes","good"
"overdrawn",8,"critical/order existing credit","other",1164,"low savings","7 or more years",3,"male single","none",4,"no known property",51,"bank","for free",2,"high qualif/self emp/mgmt",2,"yes","yes","good"
"low balance",42,"critical/order existing credit","business",5954,"low savings","4-6 years",2,"female div/dep/mar","none",1,"real estate",41,"bank","own",2,"unskilled resident",1,"none","yes","good"
"overdrawn",36,"existing paid","education",1977,"no known savings","7 or more years",4,"male single","none",4,"no known property",40,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",42,"existing paid","radio/tv",3965,"low savings","less than 1 year",4,"male single","none",3,"car",34,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",11,"delayed previously","radio/tv",4771,"low savings","4-6 years",2,"male single","none",4,"life insurance",51,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",30,"existing paid","furniture/equipment",3832,"low savings","less than 1 year",2,"male mar/wid","none",1,"life insurance",22,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","radio/tv",5943,"no known savings","less than 1 year",1,"female div/dep/mar","none",1,"car",44,"stores","own",2,"skilled",1,"yes","yes","bad"
"no checking",15,"existing paid","radio/tv",1213,"low savings","7 or more years",4,"male single","none",3,"life insurance",47,"unknown","own",1,"skilled",1,"yes","yes","good"
"no checking",18,"existing paid","business",1568,"low savings","1-3 years",3,"female div/dep/mar","none",4,"life insurance",24,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"overdrawn",24,"existing paid","other",1755,"low savings","7 or more years",4,"female div/dep/mar","guarantor",4,"real estate",58,"stores","own",1,"unskilled resident",1,"yes","yes","good"
"overdrawn",10,"existing paid","radio/tv",2315,"low savings","7 or more years",3,"male single","none",4,"real estate",52,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",12,"critical/order existing credit","business",1412,"low savings","1-3 years",4,"female div/dep/mar","guarantor",2,"real estate",29,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"low balance",18,"critical/order existing credit","furniture/equipment",1295,"low savings","less than 1 year",4,"female div/dep/mar","none",1,"life insurance",27,"stores","own",2,"skilled",1,"none","yes","good"
"overdrawn",18,"existing paid","new car",2249,"low savings","4-6 years",4,"male single","none",3,"car",30,"stores","own",1,"high qualif/self emp/mgmt",2,"yes","yes","good"
"overdrawn",12,"no credits/all paid","repairs",1108,"low savings","4-6 years",4,"male single","none",3,"real estate",28,"stores","own",2,"skilled",1,"none","yes","bad"
"no checking",12,"critical/order existing credit","radio/tv",618,"low savings","7 or more years",4,"male single","none",4,"real estate",56,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",12,"critical/order existing credit","used car",1409,"low savings","7 or more years",4,"male single","none",3,"real estate",54,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",12,"critical/order existing credit","radio/tv",797,"no known savings","7 or more years",4,"female div/dep/mar","none",3,"life insurance",33,"bank","own",1,"unskilled resident",2,"none","yes","bad"
"adequate balance",24,"critical/order existing credit","furniture/equipment",3617,"no known savings","7 or more years",4,"male single","co applicant",4,"no known property",20,"stores","rent",2,"skilled",1,"none","yes","good"
"low balance",12,"existing paid","new car",1318,"high savings","7 or more years",4,"male single","none",4,"real estate",54,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",18,"existing paid","business",2622,"low savings","1-3 years",4,"male single","none",4,"car",34,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",36,"critical/order existing credit","radio/tv",2337,"low savings","7 or more years",4,"male single","none",4,"real estate",36,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",20,"delayed previously","used car",7057,"no known savings","4-6 years",3,"male single","none",4,"life insurance",36,"bank","rent",2,"high qualif/self emp/mgmt",2,"yes","yes","good"
"no checking",24,"existing paid","new car",1469,"low savings","7 or more years",4,"male mar/wid","none",4,"real estate",41,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"low balance",36,"existing paid","radio/tv",2323,"low savings","4-6 years",4,"male single","none",4,"car",24,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",6,"delayed previously","radio/tv",932,"low savings","1-3 years",3,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",9,"critical/order existing credit","furniture/equipment",1919,"low savings","4-6 years",4,"male single","none",3,"car",35,"stores","rent",1,"skilled",1,"yes","yes","good"
"no checking",12,"existing paid","used car",2445,"no known savings","less than 1 year",2,"male mar/wid","none",4,"car",26,"stores","rent",1,"skilled",1,"yes","yes","good"
"no checking",18,"all paid","new car",6458,"low savings","7 or more years",2,"male single","none",4,"no known property",39,"bank","own",2,"high qualif/self emp/mgmt",2,"yes","yes","bad"
"low balance",12,"existing paid","new car",6078,"low savings","4-6 years",2,"male single","none",2,"car",32,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",24,"existing paid","furniture/equipment",7721,"no known savings","less than 1 year",1,"female div/dep/mar","none",2,"life insurance",30,"stores","own",1,"skilled",1,"yes","no","good"
"low balance",14,"existing paid","business",1410,"low savings","7 or more years",1,"male mar/wid","none",2,"real estate",35,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",6,"delayed previously","business",1449,"low savings","7 or more years",1,"male div/sep","none",2,"car",31,"bank","own",2,"skilled",2,"none","yes","good"
"adequate balance",15,"existing paid","education",392,"low savings","less than 1 year",4,"female div/dep/mar","none",4,"life insurance",23,"stores","rent",1,"skilled",1,"yes","yes","good"
"low balance",18,"existing paid","new car",6260,"low savings","4-6 years",3,"male single","none",3,"real estate",28,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"no checking",36,"critical/order existing credit","new car",7855,"low savings","1-3 years",4,"female div/dep/mar","none",2,"real estate",25,"unknown","own",2,"skilled",1,"yes","yes","bad"
"overdrawn",12,"existing paid","radio/tv",1680,"low savings","7 or more years",3,"male mar/wid","none",1,"real estate",35,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",48,"critical/order existing credit","radio/tv",3578,"no known savings","7 or more years",4,"male single","none",1,"real estate",47,"stores","own",1,"skilled",1,"yes","yes","good"
"overdrawn",42,"existing paid","radio/tv",7174,"no known savings","4-6 years",4,"female div/dep/mar","none",3,"car",30,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",10,"critical/order existing credit","furniture/equipment",2132,"no known savings","less than 1 year",2,"female div/dep/mar","co applicant",3,"real estate",27,"stores","rent",2,"skilled",1,"none","no","good"
"overdrawn",33,"critical/order existing credit","furniture/equipment",4281,"low savings","1-3 years",1,"female div/dep/mar","none",4,"car",23,"stores","own",2,"skilled",1,"none","yes","bad"
"low balance",12,"critical/order existing credit","new car",2366,"low savings","4-6 years",3,"male div/sep","none",3,"car",36,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"overdrawn",21,"existing paid","radio/tv",1835,"low savings","1-3 years",3,"female div/dep/mar","none",2,"real estate",25,"stores","own",2,"skilled",1,"yes","yes","bad"
"no checking",24,"critical/order existing credit","used car",3868,"low savings","7 or more years",4,"female div/dep/mar","none",2,"car",41,"stores","rent",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",12,"existing paid","furniture/equipment",1768,"low savings","1-3 years",3,"male single","none",2,"real estate",24,"stores","rent",1,"unskilled resident",1,"none","yes","good"
"low balance",18,"existing paid","furniture/equipment",1924,"no known savings","less than 1 year",4,"female div/dep/mar","none",3,"real estate",27,"stores","rent",1,"skilled",1,"none","yes","bad"
"overdrawn",12,"critical/order existing credit","new car",2121,"low savings","1-3 years",4,"male single","none",2,"life insurance",30,"stores","own",2,"skilled",1,"none","yes","good"
"overdrawn",12,"existing paid","radio/tv",701,"low savings","1-3 years",4,"male mar/wid","none",2,"real estate",40,"stores","own",1,"unskilled resident",1,"none","yes","good"
"low balance",12,"existing paid","repairs",639,"low savings","1-3 years",4,"male single","none",2,"car",30,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",12,"critical/order existing credit","used car",1860,"low savings","unemployed",4,"male single","none",2,"car",34,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"overdrawn",12,"critical/order existing credit","new car",3499,"low savings","1-3 years",3,"female div/dep/mar","co applicant",2,"real estate",29,"stores","own",2,"skilled",1,"none","yes","bad"
"overdrawn",36,"delayed previously","education",6887,"low savings","1-3 years",4,"male single","none",3,"life insurance",29,"unknown","own",1,"skilled",1,"yes","yes","bad"
"no checking",15,"existing paid","furniture/equipment",2708,"low savings","less than 1 year",2,"male single","none",3,"life insurance",27,"bank","own",2,"unskilled resident",1,"none","yes","good"
"no checking",18,"existing paid","furniture/equipment",1984,"low savings","1-3 years",4,"male single","none",4,"no known property",47,"bank","for free",2,"skilled",1,"none","yes","good"
"no checking",12,"critical/order existing credit","radio/tv",1240,"no known savings","7 or more years",4,"female div/dep/mar","none",2,"real estate",38,"stores","own",2,"skilled",1,"yes","yes","good"
"low balance",15,"critical/order existing credit","radio/tv",2728,"no known savings","4-6 years",4,"male single","guarantor",2,"real estate",35,"bank","own",3,"skilled",1,"yes","yes","good"
"adequate balance",12,"existing paid","radio/tv",1881,"low savings","1-3 years",2,"female div/dep/mar","none",2,"car",44,"stores","rent",1,"unskilled resident",1,"yes","yes","good"
"adequate balance",6,"existing paid","new car",709,"high savings","less than 1 year",2,"male mar/wid","none",2,"real estate",27,"stores","own",1,"unemp/unskilled non res",1,"none","no","good"
"low balance",36,"existing paid","radio/tv",4795,"low savings","less than 1 year",4,"female div/dep/mar","none",1,"no known property",30,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"overdrawn",27,"existing paid","radio/tv",3416,"low savings","1-3 years",3,"male single","none",2,"car",27,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"overdrawn",18,"existing paid","furniture/equipment",2462,"low savings","1-3 years",2,"male single","none",2,"car",22,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",21,"critical/order existing credit","furniture/equipment",2288,"low savings","less than 1 year",4,"female div/dep/mar","none",4,"life insurance",23,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",48,"all paid","business",3566,"low savings","4-6 years",4,"male single","none",2,"car",30,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",6,"critical/order existing credit","new car",860,"low savings","7 or more years",1,"female div/dep/mar","none",4,"no known property",39,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","new car",682,"low savings","4-6 years",4,"female div/dep/mar","none",3,"car",51,"stores","own",2,"skilled",1,"yes","yes","good"
"overdrawn",36,"critical/order existing credit","furniture/equipment",5371,"low savings","1-3 years",3,"male single","guarantor",2,"life insurance",28,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",18,"critical/order existing credit","radio/tv",1582,"high savings","7 or more years",4,"male single","none",4,"car",46,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",6,"existing paid","radio/tv",1346,"low savings","7 or more years",2,"male single","none",4,"no known property",42,"bank","for free",1,"skilled",2,"yes","yes","good"
"no checking",10,"existing paid","radio/tv",1924,"low savings","1-3 years",1,"male single","none",4,"life insurance",38,"stores","own",1,"skilled",1,"yes","no","good"
"adequate balance",36,"existing paid","radio/tv",5848,"low savings","1-3 years",4,"male single","none",1,"car",24,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",24,"critical/order existing credit","used car",7758,"high savings","7 or more years",2,"female div/dep/mar","none",4,"no known property",29,"stores","rent",1,"skilled",1,"none","yes","good"
"low balance",24,"delayed previously","business",6967,"low savings","4-6 years",4,"male single","none",4,"car",36,"stores","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"overdrawn",12,"existing paid","furniture/equipment",1282,"low savings","1-3 years",2,"female div/dep/mar","none",4,"car",20,"stores","rent",1,"skilled",1,"none","yes","bad"
"overdrawn",9,"critical/order existing credit","repairs",1288,"low savings","7 or more years",3,"male single","guarantor",4,"real estate",48,"stores","own",2,"skilled",2,"none","no","good"
"overdrawn",12,"all paid","retraining",339,"low savings","7 or more years",4,"male mar/wid","none",1,"car",45,"bank","own",1,"unskilled resident",1,"none","yes","good"
"low balance",24,"existing paid","new car",3512,"low savings","4-6 years",2,"male single","none",3,"car",38,"bank","own",2,"skilled",1,"yes","yes","good"
"no checking",6,"critical/order existing credit","radio/tv",1898,"no known savings","1-3 years",1,"male single","none",2,"real estate",34,"stores","own",2,"unskilled resident",2,"none","yes","good"
"no checking",24,"critical/order existing credit","radio/tv",2872,"low savings","7 or more years",3,"male single","none",4,"real estate",36,"stores","own",1,"skilled",2,"yes","yes","good"
"no checking",18,"critical/order existing credit","new car",1055,"low savings","less than 1 year",4,"female div/dep/mar","none",1,"life insurance",30,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",15,"existing paid","domestic appliance",1262,"low savings","4-6 years",4,"male single","none",3,"life insurance",36,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",36,"existing paid","new car",909,"low savings","7 or more years",4,"male single","none",4,"life insurance",36,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",6,"existing paid","furniture/equipment",2978,"low savings","1-3 years",1,"male single","none",2,"car",32,"stores","own",1,"skilled",1,"yes","yes","good"
"overdrawn",18,"existing paid","furniture/equipment",1131,"low savings","unemployed",4,"female div/dep/mar","none",2,"car",33,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",11,"existing paid","furniture/equipment",1577,"high savings","less than 1 year",4,"female div/dep/mar","none",1,"real estate",20,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","furniture/equipment",3972,"low savings","4-6 years",2,"female div/dep/mar","none",4,"life insurance",25,"stores","rent",1,"skilled",1,"yes","yes","good"
"low balance",24,"critical/order existing credit","business",1935,"low savings","7 or more years",4,"male div/sep","none",4,"real estate",31,"stores","own",2,"skilled",1,"yes","yes","bad"
"overdrawn",15,"no credits/all paid","new car",950,"low savings","7 or more years",4,"male single","none",3,"car",33,"stores","rent",2,"skilled",2,"none","yes","bad"
"no checking",12,"existing paid","furniture/equipment",763,"low savings","1-3 years",4,"female div/dep/mar","none",1,"real estate",26,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",24,"delayed previously","furniture/equipment",2064,"low savings","unemployed",3,"female div/dep/mar","none",2,"life insurance",34,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"low balance",8,"existing paid","radio/tv",1414,"low savings","1-3 years",4,"male single","guarantor",2,"real estate",33,"stores","own",1,"skilled",1,"none","no","good"
"overdrawn",21,"delayed previously","education",3414,"low savings","less than 1 year",2,"male single","none",1,"life insurance",26,"stores","own",2,"skilled",1,"none","yes","bad"
"no checking",30,"all paid","used car",7485,"no known savings","unemployed",4,"female div/dep/mar","none",1,"real estate",53,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",12,"existing paid","furniture/equipment",2577,"low savings","1-3 years",2,"male div/sep","none",1,"car",42,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",6,"critical/order existing credit","radio/tv",338,"low savings","7 or more years",4,"male single","none",4,"car",52,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",12,"existing paid","radio/tv",1963,"low savings","4-6 years",4,"male single","none",2,"car",31,"stores","rent",2,"high qualif/self emp/mgmt",2,"yes","yes","good"
"low balance",36,"delayed previously","business",4455,"low savings","1-3 years",2,"male div/sep","none",2,"real estate",30,"unknown","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"overdrawn",21,"all paid","new car",1647,"no known savings","1-3 years",4,"male single","none",2,"life insurance",40,"stores","own",2,"unskilled resident",2,"none","yes","bad"
"no checking",24,"critical/order existing credit","furniture/equipment",3777,"high savings","1-3 years",4,"male single","none",4,"real estate",50,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",18,"critical/order existing credit","new car",884,"low savings","7 or more years",4,"male single","none",4,"car",36,"bank","own",1,"skilled",2,"yes","yes","bad"
"no checking",15,"critical/order existing credit","radio/tv",1360,"low savings","1-3 years",4,"male single","none",2,"life insurance",31,"stores","own",2,"skilled",1,"none","yes","good"
"overdrawn",12,"existing paid","radio/tv",674,"low savings","4-6 years",4,"male mar/wid","none",1,"life insurance",20,"stores","own",1,"skilled",1,"none","yes","bad"
"low balance",18,"no credits/all paid","furniture/equipment",3244,"low savings","1-3 years",1,"female div/dep/mar","none",4,"car",33,"bank","own",2,"skilled",1,"yes","yes","good"
"no checking",24,"existing paid","business",4591,"high savings","1-3 years",2,"male single","none",3,"life insurance",54,"stores","own",3,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"low balance",48,"no credits/all paid","business",3844,"low savings","4-6 years",4,"male single","none",4,"no known property",34,"stores","for free",1,"unskilled resident",2,"none","yes","bad"
"low balance",27,"existing paid","business",3915,"low savings","1-3 years",4,"male single","none",2,"car",36,"stores","own",1,"skilled",2,"yes","yes","bad"
"no checking",6,"existing paid","radio/tv",2108,"low savings","4-6 years",2,"male mar/wid","none",2,"real estate",29,"stores","rent",1,"skilled",1,"none","yes","good"
"low balance",45,"existing paid","radio/tv",3031,"low savings","1-3 years",4,"male single","guarantor",4,"life insurance",21,"stores","rent",1,"skilled",1,"none","yes","bad"
"low balance",9,"critical/order existing credit","education",1501,"low savings","7 or more years",2,"female div/dep/mar","none",3,"car",34,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",6,"critical/order existing credit","radio/tv",1382,"low savings","1-3 years",1,"female div/dep/mar","none",1,"car",28,"stores","own",2,"skilled",1,"yes","yes","good"
"low balance",12,"existing paid","furniture/equipment",951,"low savings","less than 1 year",4,"female div/dep/mar","none",4,"car",27,"bank","rent",4,"skilled",1,"none","yes","bad"
